郵便番号, 地域区分ID, (旧)郵便番号, 都道府県名(よみ), 市区町村名(よみ), 町域名(よみ), 都道府県名, 市区町村名, 町域名, 一町域が二以上の郵便番号で表される場合の表示, 小字毎に番地が起番されている町域の表示, 丁目を有する町域の場合の表示, 一つの郵便番号で二以上の町域を表す場合の表示, 更新の表示, 変更理由, 登録日, 修正日
post_id, region_id, post_id_old, state_re, cities_re, town_re, state, cities, town,more_info1,more_info2,more_info3,more_info4,more_info5,more_info6, create_on, modify_on
8000114,40101,80001,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｷｼ,福岡県,北九州市門司区,吉志,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000118,40101,80001,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｷｼｼﾝﾏﾁ,福岡県,北九州市門司区,吉志新町,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000004,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｷﾀｶﾞﾜﾏﾁ,福岡県,北九州市門司区,北川町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010812,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｷﾀｸ,福岡県,北九州市門司区,喜多久,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010854,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｷｭｳﾓｼﾞ,福岡県,北九州市門司区,旧門司,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010833,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｷﾖﾀｷ,福岡県,北九州市門司区,清滝,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010882,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｷﾖﾐ,福岡県,北九州市門司区,清見,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010886,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｷﾖﾐｻﾔﾏﾁ,福岡県,北九州市門司区,清見佐夜町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010808,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｸｽﾞﾊ(1ﾁｮｳﾒ),福岡県,北九州市門司区,葛葉（１丁目）,1,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000008,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｸｽﾞﾊ(2､3ﾁｮｳﾒ),福岡県,北九州市門司区,葛葉（２、３丁目）,1,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
